Ticker,Sector,Last Close,52W High,% From High,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
BVFL,Other,21.64,22.17,-2.39,73.1,0.4,2026-06-26,15.8,0.96,,,,1.37,N,N,2
BWB,Other,21.46,21.84,-1.74,70.6,0.6,2026-07-02,12.2,1.29,,,,1.76,N,N,3
BWFG,Other,58.6,60.5,-3.14,66.2,1.3,2026-07-02,11.7,1.46,,,137.0,4.99,N,N,4
CAC,Other,54.58,56.23,-2.93,66.0,0.7,2026-07-02,11.6,1.3,,,308.0,4.7,N,N,4
CACC,Other,657.12,666.24,-1.37,89.1,0.8,2026-07-02,16.4,4.52,3.87,4.233,,40.15,N,N,2
CADL,Other,9.83,11.36,-13.47,70.6,0.7,2026-06-30,,5.22,28.05,0.357,,-1.01,N,N,2
CAKE,Other,79.18,80.93,-2.16,67.9,1.0,2026-07-01,23.2,8.58,0.59,4.664,152.0,3.41,N,N,2
CARE,Other,33.13,35.03,-5.42,73.3,0.9,2026-07-02,6.8,1.45,,,121.0,4.87,N,N,4
CASS,Other,52.51,53.19,-1.28,72.4,0.8,2026-07-01,22.4,2.79,1.02,0.618,243.0,2.34,N,N,3
CATY,Other,62.31,63.72,-2.21,63.3,0.6,2026-07-02,12.8,1.4,,,231.0,4.85,N,N,4
CBC,Other,31.46,31.89,-1.35,74.4,0.9,2026-07-02,17.7,1.99,,,152.0,1.78,N,N,2
CBFV,Other,38.14,38.39,-0.65,54.8,0.3,2026-06-26,29.3,1.22,,,283.0,1.3,N,N,3
CBK,Other,33.4,33.83,-1.27,79.9,1.1,2026-07-02,12.0,1.56,,,60.0,2.78,N,N,3
CBNK,Other,35.52,36.41,-2.44,67.3,0.8,2026-07-01,10.7,1.41,,,135.0,3.32,N,N,4
CCBG,Other,49.63,51.04,-2.76,69.0,0.9,2026-06-26,14.1,1.52,,,218.0,3.53,N,N,3
CCCC,Other,4.3,5.17,-16.83,62.9,0.7,2026-06-30,,1.91,9.01,0.25,,-1.1,N,N,2
CCNE,Other,33.69,34.92,-3.52,61.8,0.8,2026-07-02,11.7,1.19,,,220.0,2.87,N,N,4
CCSI,Other,37.94,41.4,-8.36,67.2,0.7,2026-07-01,8.3,31.72,1.8,25.838,,4.57,N,N,2
CCXIU,Other,19.83,21.88,-9.37,94.7,1.4,2026-07-02,,-78.07,8.13,,,,N,N,2
CDNA,Other,29.19,30.0,-2.7,72.1,0.9,2026-07-02,,4.77,3.4,0.078,,-0.16,N,N,2
CDNL,Other,74.25,96.4,-22.98,56.6,1.8,2026-07-01,55.0,16.13,1.73,0.869,,1.35,N,N,2
CENTA,Other,38.43,39.99,-3.9,59.7,0.5,2026-07-02,14.0,1.45,3.45,0.858,,2.75,N,N,5
CEPV,Other,10.38,10.38,0.0,58.3,0.5,2026-07-02,94.4,2076.0,1.79,0.111,,0.11,N,N,2
CERS,Other,3.16,3.21,-1.56,74.4,1.1,2026-07-02,,9.38,1.63,1.426,,-0.05,N,N,0
CFFI,Other,82.7,86.18,-4.04,58.9,0.6,2026-06-26,9.5,1.01,,,232.0,8.72,N,N,4
CFFN,Other,8.45,8.69,-2.76,61.9,0.8,2026-07-02,14.1,1.03,,,403.0,0.6,N,N,4
CGEM,Other,17.63,19.43,-9.26,80.6,0.7,2026-06-26,,2.96,10.28,0.007,,-3.37,N,N,2
CGNX,Other,67.8,72.88,-6.97,61.3,1.4,2026-06-30,79.8,7.63,3.64,0.05,49.0,0.85,N,N,4
CGON,Other,70.36,77.0,-8.62,78.5,0.6,2026-06-30,,5.67,31.3,0.007,,-2.34,N,N,2
CHCO,Other,134.85,136.17,-0.97,65.5,0.7,2026-07-02,14.9,2.4,,,258.0,9.06,N,N,3
CHMG,Other,74.5,76.65,-2.8,59.0,0.6,2026-07-02,19.7,1.37,,,182.0,3.78,N,N,3
CIVB,Other,28.46,29.38,-3.13,63.9,0.8,2026-07-02,10.5,1.07,,,253.0,2.7,N,N,4
CLBK,Other,21.17,21.59,-1.95,56.9,1.3,2026-07-01,38.5,1.88,,,,0.55,N,N,1
CLDX,Other,38.37,39.16,-2.02,86.3,0.7,2026-06-30,,5.6,8.92,0.004,,-4.27,N,N,2
CLOV,Other,5.26,5.59,-5.9,60.3,0.6,2026-06-29,,8.14,1.33,,,-0.12,N,N,0
CLYM,Other,12.9,13.69,-5.77,69.3,0.7,2026-06-30,,4.16,27.86,0.003,,-0.77,N,N,2
CMPS,Other,13.62,15.4,-11.56,65.6,1.2,2026-06-29,,5.63,3.32,0.163,,-3.14,N,N,2
CNOB,Other,32.52,33.97,-4.27,53.2,1.1,2026-07-01,17.5,1.1,,,240.0,1.86,N,N,3
CNXN,Other,72.43,75.3,-3.81,50.1,0.9,2026-07-01,21.1,1.98,2.71,0.008,110.0,3.43,N,N,4
COFS,Other,33.92,34.9,-2.81,68.9,0.7,2026-06-30,8.0,1.08,,,342.0,4.22,N,N,4
COHU,Other,59.27,74.6,-20.55,50.7,1.5,2026-06-30,,3.64,6.43,0.429,,-1.19,N,N,2
COLB,Other,31.72,32.77,-3.2,58.5,1.1,2026-07-02,12.4,1.2,,,467.0,2.55,N,N,4
CORT,Other,90.21,91.0,-0.87,69.9,0.8,2026-07-01,257.7,15.18,2.86,0.015,,0.35,N,N,3
CPBI,Other,18.91,19.11,-1.05,66.4,0.4,2026-06-30,18.0,0.83,,,,1.05,N,N,2
CPIX,Other,6.37,7.36,-13.45,59.5,2.2,2026-07-02,,4.41,0.95,0.473,,-0.49,N,N,1
CRAQ,Other,10.32,10.32,0.0,84.6,0.5,2026-07-02,35.6,-39.09,5.35,,,0.29,N,N,3
CRWS,Other,2.95,3.04,-2.96,63.6,1.8,2026-07-02,17.4,0.82,3.58,0.614,1085.0,0.17,N,N,5
CSTE,Other,2.21,2.62,-15.65,77.2,4.1,2026-07-02,,0.65,1.7,0.889,,-4.22,N,N,2
CSWC,Other,23.73,24.13,-1.66,58.6,0.8,2026-07-02,12.5,1.42,47.85,1.193,1079.0,1.9,N,N,5
CTNM,Other,15.1,16.91,-10.7,70.2,0.8,2026-06-30,,2.26,38.0,0.028,,-1.94,N,N,2
CVBF,Other,22.81,23.34,-2.27,70.0,0.8,2026-07-02,14.9,1.33,,,351.0,1.53,N,N,4
CWBC,Other,26.97,27.73,-2.74,65.1,0.7,2026-07-02,12.5,1.23,,,178.0,2.16,N,N,4
CYTK,Other,86.49,88.31,-2.06,88.9,0.8,2026-06-30,,-13.0,4.21,,,-6.85,N,N,2
CZFS,Other,72.21,74.7,-3.33,61.2,0.6,2026-07-01,8.8,1.01,,,282.0,8.17,N,N,4
CZNC,Other,23.63,24.25,-2.56,67.0,0.8,2026-07-02,22.1,1.26,,,474.0,1.07,N,N,3
CZWI,Other,23.67,24.43,-3.11,73.1,1.4,2026-07-02,15.5,1.88,,,89.0,1.53,N,N,2
DAVE,Other,387.36,404.44,-4.22,82.2,0.9,2026-07-01,24.9,24.17,3.86,1.316,,15.57,N,N,2
DFTX,Other,44.19,49.2,-10.18,83.1,0.5,2026-06-30,,16.49,4.69,0.146,,-2.5,N,N,2
DGICB,Other,21.78,24.0,-9.25,57.6,0.0,2026-06-26,13.3,1.35,0.5,0.054,297.0,1.78,N,N,5
DGII,Other,72.15,76.41,-5.58,62.5,1.3,2026-07-01,63.8,4.08,1.11,0.231,,1.13,N,N,2
DMAA,Other,10.65,10.65,0.0,75.0,0.0,2026-07-02,53.2,-48.63,0.03,,,0.2,N,N,2
DNLI,Other,25.83,26.8,-3.62,86.6,0.7,2026-07-02,,4.43,9.29,0.043,,-2.88,N,N,2
DNTH,Other,94.34,98.7,-4.42,72.5,0.5,2026-06-30,,4.29,29.25,0.001,,-4.23,N,N,2
DRH,Other,12.08,12.45,-2.97,58.7,0.9,2026-06-26,26.3,1.71,2.84,0.823,298.0,0.46,N,N,4
DRTS,Other,13.23,13.23,0.0,81.8,1.4,2026-07-02,,17.2,7.79,0.207,,-0.67,N,N,2
DWSN,Other,5.89,6.25,-5.76,67.3,1.5,2026-07-01,36.8,7.84,1.01,0.942,,0.16,N,N,2
EBC,Other,22.36,22.89,-2.32,72.2,0.4,2026-07-02,12.4,1.16,,,241.0,1.81,N,N,4
EBMT,Other,23.64,24.66,-4.14,52.4,0.6,2026-07-01,11.8,0.96,,,245.0,2.0,N,N,4
ECBK,Other,20.2,20.5,-1.46,56.0,0.4,2026-07-02,17.4,1.01,,,,1.16,N,N,2
ECPG,Other,90.61,94.6,-4.22,79.5,1.3,2026-07-01,7.1,1.88,18.24,3.905,,12.84,N,N,3
EFSC,Other,65.8,67.53,-2.56,63.3,0.6,2026-06-26,12.4,1.23,,,198.0,5.3,N,N,4
EGBN,Other,27.59,29.29,-5.8,43.9,0.6,2026-06-26,,0.73,,,71.0,-4.13,N,N,2
ELVN,Other,49.82,52.39,-4.91,70.7,0.3,2026-06-30,,6.69,40.32,0.001,,-1.64,N,N,2
EMIS,Other,10.18,10.18,0.0,63.6,4.0,2026-07-02,,175.52,11.76,,,,N,N,1
EML,Other,29.11,29.91,-2.67,88.4,0.6,2026-07-01,37.3,1.41,3.52,0.429,151.0,0.78,N,N,5
EQ,Other,2.91,3.54,-17.8,54.1,3.5,2026-06-30,,3.09,18.62,0.012,,-0.21,N,N,2
ESTA,Other,89.25,90.5,-1.38,60.2,0.5,2026-06-26,,177.44,2.96,17.855,,-1.47,N,N,1
ETON,Other,37.5,37.98,-1.26,83.5,1.2,2026-07-02,,33.51,1.21,1.021,,-0.06,N,N,0
EURK,Other,11.41,14.28,-20.1,46.6,0.1,2026-06-30,,-26.66,0.09,,,-0.56,N,N,1
