Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
SGLY,Other,0.31,0.3,3.33,30.8,0.3,2026-07-01,,,,,,,N,N,0
SHOE,Other,15.09,14.79,2.03,26.9,0.9,2026-06-30,,,,,,,N,N,0
SHPH,Other,3.58,2.9,23.45,42.3,0.1,2026-06-29,,,,,,,N,N,0
SIEB,Other,1.69,1.56,8.33,40.5,0.2,2026-06-29,,,,,,,N,N,0
SIGA,Other,3.86,3.56,8.43,29.7,0.9,2026-06-30,,,,,,,N,N,0
SINT,Other,1.9,1.8,5.56,30.9,0.5,2026-06-29,,,,,,,N,N,0
SKYX,Other,1.04,0.95,9.47,48.1,0.6,2026-06-26,,,,,,,N,N,0
SLSN,Other,0.68,0.68,0.0,23.4,0.3,2026-07-02,,,,,,,N,N,0
SMXT,Other,0.35,0.29,20.69,31.2,0.1,2026-06-26,,,,,,,N,N,0
SNT,Other,1.9,1.89,0.53,11.6,2.0,2026-07-02,,,,,,,N,N,0
SPWR,Other,0.63,0.58,8.62,22.5,0.5,2026-06-26,,,,,,,N,N,0
SSNC,Other,65.52,61.4,6.71,42.1,0.7,2026-06-30,,,,,,,N,N,0
STEP,Other,41.13,38.85,5.87,48.4,2.6,2026-07-02,,,,,,,N,N,0
SUIG,Other,1.24,1.07,15.89,41.1,1.0,2026-06-30,,,,,,,N,N,0
SURG,Other,0.57,0.34,67.65,64.5,14.1,2026-06-30,,,,,,,N,N,0
SWVL,Other,1.4,1.3,7.69,50.7,0.1,2026-06-30,,,,,,,N,N,0
TDIC,Other,4.82,4.82,0.0,33.7,0.0,2026-07-02,,,,,,,N,N,0
TDTH,Other,1.57,1.27,23.62,29.9,0.2,2026-06-30,,,,,,,N,N,0
TMS,Other,7.5,7.01,6.99,33.4,0.3,2026-06-30,,,,,,,N,N,0
TNON,Other,0.29,0.27,7.41,34.9,3.4,2026-07-02,,,,,,,N,N,0
