Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
FGL,Other,1.46,1.33,9.77,27.6,0.0,2026-06-26,,6.51,1.16,4.238,,-6.55,N,N,0
FIZZ,Other,33.33,30.75,8.39,33.7,2.5,2026-06-30,17.0,5.23,4.39,0.093,,1.96,N,N,3
FKWL,Other,2.54,2.5,1.6,32.8,0.1,2026-06-29,,0.89,3.38,0.031,,-0.06,N,N,3
FLD,Other,0.48,0.44,9.09,34.6,0.0,2026-06-30,,0.67,0.48,0.884,,-0.32,N,N,2
FLNA,Other,1.23,1.15,6.96,40.0,1.9,2026-06-26,,0.87,2.19,,,-1.6,N,N,2
FLZH,Other,1.8,1.6,12.5,35.5,0.2,2026-06-30,,0.02,0.06,0.003,,-43.1,N,N,2
FMST,Other,1.51,1.33,13.53,44.4,1.4,2026-07-01,,0.98,1.85,,,-0.37,N,N,1
FNGR,Other,0.39,0.38,2.63,18.2,0.2,2026-06-30,,1.57,1.13,0.039,,-0.12,N,N,1
FNUC,Other,1.7,1.35,25.93,38.9,0.6,2026-06-30,,0.32,3.19,,,-2.25,N,N,2
FUFU,Other,1.39,1.31,6.11,36.4,1.3,2026-07-01,,2.02,4.16,0.947,,-0.3,N,N,2
FWDI,Other,4.81,3.48,38.22,58.9,1.3,2026-06-26,,0.67,0.4,0.096,,-31.51,N,N,2
GAIA,Other,2.08,2.03,2.46,21.7,0.5,2026-06-30,,0.6,0.56,0.144,,-0.19,N,N,2
GAMB,Other,2.0,1.89,5.82,20.2,0.6,2026-06-30,,0.66,1.31,1.128,,-1.28,N,N,1
GDC,Other,2.42,0.01,24100.0,84.1,0.0,2026-06-26,,0.0,0.11,0.002,,-2152.5,N,N,2
GDHG,Other,1.32,1.06,24.53,43.7,0.0,2026-06-26,,0.02,25.0,0.04,,-10.43,N,N,3
GEMI,Other,4.23,3.83,10.44,42.9,1.1,2026-06-26,,1.1,1.27,1.083,,-4.6,N,N,1
GEOS,Other,6.72,6.28,7.01,30.8,0.5,2026-06-29,,0.83,2.5,0.007,,-2.27,N,N,3
GFAI,Other,0.39,0.35,11.43,33.0,0.5,2026-06-26,,0.28,5.32,0.124,,-0.24,N,N,3
GIPR,Other,0.18,0.16,12.5,38.8,0.5,2026-07-01,,-0.19,0.22,2.799,,-1.81,N,N,1
GMEX,Other,3.89,3.08,26.3,19.9,1.4,2026-06-30,,0.06,4.88,3.788,131593.0,-317.46,N,N,3
GMM,Other,2.32,2.25,3.11,38.7,0.0,2026-07-02,,0.02,1.1,0.06,,-59.5,N,N,2
GOGO,Other,3.57,3.02,18.21,47.1,0.7,2026-06-30,35.7,4.08,1.66,7.653,,0.1,N,N,1
GRI,Other,1.87,1.7,10.0,33.6,0.3,2026-07-01,0.0,0.28,14.21,0.006,,39.31,N,N,5
GSM,Other,3.27,3.1,5.48,28.5,1.1,2026-06-29,,0.92,1.43,0.406,177.0,-0.59,N,N,3
GSUN,Other,0.37,0.29,27.59,38.2,1.1,2026-06-29,,0.34,1.2,0.582,,-2.08,N,N,2
GWAV,Other,3.14,2.86,9.79,40.3,0.2,2026-06-30,,0.1,0.21,0.528,,-41.25,N,N,2
HAIN,Other,0.53,0.53,0.0,32.1,0.6,2026-07-02,,0.22,0.52,2.764,,-5.67,N,N,1
HCTI,Other,1.89,1.73,9.25,28.2,0.2,2026-07-01,0.0,0.13,0.9,0.206,,398.62,N,N,4
HDRN,Other,2.0,1.71,16.96,20.0,0.3,2026-06-26,,-0.04,0.16,,,-1.0,N,N,1
HHS,Other,2.25,2.07,8.7,39.8,2.9,2026-06-26,,0.83,1.49,1.095,,-0.14,N,N,1
HKIT,Other,0.17,0.15,13.33,14.6,0.2,2026-07-02,0.0,0.04,8.23,0.073,,75.0,N,N,5
HOWL,Other,0.34,0.27,25.93,39.3,0.8,2026-06-29,,1.36,1.26,3.086,,-1.23,N,N,1
HTZ,Other,2.12,2.09,1.44,10.8,1.2,2026-07-02,,-0.85,0.78,,,-2.05,N,N,1
HXHX,Other,0.49,0.32,53.12,34.7,0.1,2026-06-30,1.6,0.24,2.37,0.422,,0.3,N,N,5
HYFM,Other,0.79,0.72,9.72,34.6,0.2,2026-07-01,,-0.05,0.34,,,-62.94,N,N,1
ICMB,Other,0.97,0.86,12.79,31.7,0.5,2026-07-01,,0.27,3.88,2.052,5338.0,-1.36,N,N,3
IMNN,Other,1.91,1.7,12.35,38.9,0.4,2026-06-29,,2.23,1.59,0.271,,-4.52,N,N,1
INLF,Other,0.02,0.02,0.0,4.7,0.8,2026-07-02,,0.0,2.11,0.308,,-1056.0,N,N,3
INTJ,Other,3.56,3.18,11.95,33.7,0.3,2026-06-30,,0.48,27.28,0.03,,-45.3,N,N,3
INTZ,Other,0.8,0.66,21.21,54.2,0.3,2026-06-26,,4.37,0.69,0.44,,-0.53,N,N,1
IPDN,Other,0.63,0.55,14.55,53.3,0.4,2026-06-26,,0.46,0.81,0.012,,-1.91,N,N,2
IPST,Other,2.48,2.1,18.1,28.4,0.3,2026-06-30,,0.04,0.43,0.142,,-321.26,N,N,2
IPW,Other,1.99,1.84,8.15,19.1,4.6,2026-07-02,,0.03,2.19,0.451,,-63.52,N,N,3
ISPR,Other,1.23,1.07,14.95,35.7,0.5,2026-07-01,,-4.36,1.02,,,-0.6,N,N,1
IZM,Other,0.37,0.26,42.31,34.0,0.5,2026-07-01,3.4,0.29,1.58,0.989,,0.11,N,N,4
JSPR,Other,0.43,0.31,38.71,45.8,0.4,2026-06-29,,3.54,2.26,0.223,,-2.6,N,N,2
KALA,Other,1.68,1.62,3.7,39.5,0.4,2026-07-01,,2.9,7.91,,,-101.41,N,N,1
KDK,Other,5.32,5.0,6.4,35.6,0.7,2026-06-26,,-3.84,3.69,,,-2.41,N,N,2
KIDZ,Other,0.68,0.63,7.94,8.2,0.1,2026-06-30,,0.02,0.94,1.741,,-42567708.0,N,N,1
KMRK,Other,0.95,0.78,21.79,28.0,0.1,2026-06-26,,2.65,3.95,0.155,,-0.03,N,N,2
KNDI,Other,0.72,0.57,26.32,54.3,0.1,2026-06-29,,0.22,2.35,0.117,,-1.14,N,N,3
KUST,Other,1.08,0.85,27.06,35.2,0.2,2026-06-26,,0.13,0.99,0.486,,-2127.64,N,N,2
KWM,Other,0.15,0.14,7.14,11.8,0.2,2026-07-01,,-0.69,0.24,,,-2.17,N,N,1
KXIN,Other,4.03,3.9,3.33,28.0,0.0,2026-06-30,,0.29,0.11,0.067,,-363.0,N,N,2
LAB,Other,0.91,0.7,30.0,50.0,0.7,2026-06-26,,0.63,12.36,0.053,,-0.13,N,N,3
LE,Other,10.88,9.56,13.81,35.5,1.2,2026-06-30,1.0,0.67,1.57,0.095,,10.98,N,N,4
LGCL,Other,1.65,0.65,153.85,47.6,2.6,2026-06-29,2.7,0.1,1.61,0.302,,0.6,N,N,4
LGO,Other,0.78,0.62,25.81,47.6,2.1,2026-06-29,,0.52,0.55,0.697,,-0.94,N,N,2
LPSN,Other,1.93,1.8,7.22,38.8,0.9,2026-06-26,,-0.45,1.12,,,-9.51,N,N,1
LTBR,Other,8.64,8.42,2.61,43.5,0.8,2026-06-26,,1.3,168.12,,,-0.76,N,N,2
MAT,Other,13.34,13.17,1.29,28.0,1.1,2026-07-02,8.6,1.84,2.06,1.27,,1.56,N,N,3
MDXH,Other,0.48,0.4,20.0,37.3,1.1,2026-06-30,,-1.23,1.63,,,-0.64,N,N,1
MERC,Other,0.78,0.64,21.88,40.4,3.2,2026-07-01,,-9.4,2.17,,,-7.98,N,N,2
MGN,Other,0.13,0.12,8.33,45.0,0.0,2026-07-01,13.0,0.18,2.05,0.077,,0.01,N,N,5
MIMI,Other,2.25,2.0,12.5,37.2,0.0,2026-06-30,,1.12,9.03,0.231,,-4.08,N,N,3
MIND,Other,4.76,4.66,2.15,35.3,0.6,2026-06-30,29.8,1.04,5.2,0.022,,0.16,N,N,4
MKZR,Other,1.78,1.62,9.88,23.4,1.0,2026-06-29,,0.08,0.7,1.709,,-10.13,N,N,1
MRLN,Other,5.28,4.76,10.92,30.0,0.5,2026-06-29,,-3.21,8.72,0.059,,-5.85,N,N,3
