Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit
CETX,Other,2.97,2.59,14.67,26.4,18.2,2026-07-02
CG,Other,42.83,39.6,8.16,43.2,0.5,2026-06-29
CHAI,Other,0.65,0.63,3.17,6.2,0.0,2026-06-29
CLPS,Other,0.82,0.8,2.5,16.3,0.9,2026-07-02
CMCT,Other,3.47,3.01,15.28,27.6,0.2,2026-06-30
CMND,Other,2.36,2.04,15.69,14.0,0.0,2026-06-29
CNXC,Other,23.6,19.12,23.43,40.3,1.0,2026-06-30
COSM,Other,0.24,0.16,50.0,58.3,1.0,2026-06-30
CPOP,Other,0.08,0.08,0.0,1.7,0.1,2026-07-02
CSPI,Other,8.23,7.51,9.59,37.8,0.3,2026-06-30
CTSO,Other,0.39,0.35,11.43,50.2,0.4,2026-06-29
CURX,Other,0.25,0.25,0.0,26.4,0.8,2026-07-02
CWD,Other,1.23,0.57,115.79,71.8,19.9,2026-06-26
CYCU,Other,0.58,0.54,7.41,44.5,0.4,2026-07-02
DAIC,Other,1.85,1.58,17.09,42.3,0.0,2026-06-26
DCGO,Other,0.56,0.45,24.44,46.4,0.3,2026-06-26
DFNS,Other,0.16,0.16,0.0,13.4,0.1,2026-07-02
DGNX,Other,1.15,0.85,35.29,56.4,0.3,2026-06-26
DH,Other,0.78,0.62,25.81,43.4,0.4,2026-06-26
DJT,Other,8.54,6.96,22.7,53.1,1.2,2026-06-26
DLHC,Other,5.26,5.12,2.73,30.9,0.3,2026-06-26
DSACU,Other,10.41,10.0,4.1,,0.0,2026-06-30
DUO,Other,0.74,0.59,25.42,27.8,0.1,2026-06-30
EDBL,Other,0.13,0.12,8.33,21.8,0.4,2026-07-02
EH,Other,6.31,5.97,5.7,43.4,0.4,2026-06-29
EHGO,Other,2.08,1.12,85.71,53.1,0.1,2026-06-30
ELAB,Other,1.18,1.07,10.28,21.2,0.5,2026-07-02
ENLV,Other,0.53,0.52,1.92,6.8,1.6,2026-07-02
EVGN,Other,0.43,0.37,16.22,19.2,0.0,2026-06-26
EXLS,Other,27.02,24.85,8.73,41.0,0.8,2026-06-30
EZRA,Other,3.08,3.03,1.65,29.3,0.9,2026-06-29
FAMI,Other,0.19,0.18,5.56,31.9,3.5,2026-07-02
FEED,Other,0.52,0.51,1.96,16.7,0.1,2026-06-30
FGL,Other,1.46,1.33,9.77,27.6,0.0,2026-06-26
FIZZ,Other,33.33,30.75,8.39,33.7,2.5,2026-06-30
FKWL,Other,2.54,2.5,1.6,32.8,0.1,2026-06-29
FLD,Other,0.48,0.44,9.09,34.6,0.0,2026-06-30
FLNA,Other,1.23,1.15,6.96,40.0,1.9,2026-06-26
FLZH,Other,1.8,1.6,12.5,35.5,0.2,2026-06-30
FMST,Other,1.51,1.33,13.53,44.4,1.4,2026-07-01
FNGR,Other,0.39,0.38,2.63,18.2,0.2,2026-06-30
FNUC,Other,1.7,1.35,25.93,38.9,0.6,2026-06-30
FUFU,Other,1.39,1.31,6.11,36.4,1.3,2026-07-01
FWDI,Other,4.81,3.48,38.22,58.9,1.3,2026-06-26
GAIA,Other,2.08,2.03,2.46,21.7,0.5,2026-06-30
GAMB,Other,2.0,1.89,5.82,20.2,0.6,2026-06-30
GDC,Other,2.42,0.01,24100.0,84.1,0.0,2026-06-26
GDHG,Other,1.32,1.06,24.53,43.7,0.0,2026-06-26
GEMI,Other,4.23,3.83,10.44,42.9,1.1,2026-06-26
GEOS,Other,6.72,6.28,7.01,30.8,0.5,2026-06-29
GFAI,Other,0.39,0.35,11.43,32.9,0.4,2026-06-26
GIPR,Other,0.18,0.16,12.5,38.8,0.5,2026-07-01
GMEX,Other,3.89,3.08,26.3,19.9,1.3,2026-06-30
GMM,Other,2.32,2.25,3.11,38.7,0.0,2026-07-02
GOGO,Other,3.57,3.02,18.21,47.1,0.7,2026-06-30
GRI,Other,1.87,1.7,10.0,33.6,0.3,2026-07-01
GSM,Other,3.27,3.1,5.48,28.5,1.1,2026-06-29
GSUN,Other,0.37,0.29,27.59,38.2,0.8,2026-06-29
GWAV,Other,3.14,2.86,9.79,40.3,0.2,2026-06-30
HAIN,Other,0.53,0.53,0.0,32.2,0.6,2026-06-29
HCTI,Other,1.89,1.73,9.25,28.2,0.1,2026-07-01
HDRN,Other,2.0,1.71,16.96,20.0,0.3,2026-06-26
HHS,Other,2.25,2.07,8.7,39.8,2.6,2026-06-26
HKIT,Other,0.17,0.15,13.33,14.6,0.1,2026-07-02
HOWL,Other,0.34,0.27,25.93,39.3,0.8,2026-06-29
HTZ,Other,2.12,2.09,1.44,10.8,1.2,2026-07-02
HXHX,Other,0.48,0.32,50.0,34.7,0.0,2026-06-30
HYFM,Other,0.79,0.72,9.72,34.6,0.2,2026-07-01
ICMB,Other,0.97,0.86,12.79,31.7,0.5,2026-07-01
IMNN,Other,1.91,1.7,12.35,38.9,0.4,2026-06-29
INLF,Other,0.02,0.02,0.0,4.7,0.5,2026-07-02
INTJ,Other,3.56,3.18,11.95,33.7,0.3,2026-06-30
INTZ,Other,0.8,0.66,21.21,53.9,0.2,2026-06-26
IPDN,Other,0.63,0.55,14.55,52.6,0.4,2026-06-26
IPST,Other,2.48,2.1,18.1,28.4,0.2,2026-06-30
IPW,Other,1.99,1.84,8.15,19.1,4.6,2026-07-02
ISPR,Other,1.23,1.07,14.95,35.7,0.5,2026-07-01
IZM,Other,0.37,0.26,42.31,34.1,0.5,2026-07-01
JSPR,Other,0.43,0.31,38.71,45.8,0.4,2026-06-29
KALA,Other,1.68,1.62,3.7,39.5,0.4,2026-07-01
KDK,Other,5.32,5.0,6.4,35.6,0.7,2026-06-26
