Ticker,Last Close,52W Low,Date Hit
MSTX,9.58,6.72,2026-06-26
MTEK,0.98,0.94,2026-07-01
MTYY,19.85,19.29,2026-06-30
MVIS,0.39,0.26,2026-06-29
MVST,1.2,1.07,2026-06-29
NAGE,3.35,3.18,2026-06-30
NAKA,4.1,3.78,2026-06-30
NCIQ,14.94,14.38,2026-06-25
NDAQ,84.19,76.55,2026-06-30
NEON,1.0,0.72,2026-06-29
NEUP,3.36,3.19,2026-07-01
NEXM,2.43,2.2,2026-06-26
NFE,0.39,0.32,2026-06-26
NHTC,1.83,1.55,2026-06-26
NIOG,12.4,10.99,2026-06-26
NIPG,0.25,0.25,2026-07-01
NIU,2.05,1.93,2026-06-29
NIVF,0.45,0.45,2026-07-02
NKE,44.38,40.0,2026-06-26
NMTC,3.0,2.89,2026-06-30
NSPR,0.68,0.63,2026-06-26
NTCL,0.1,0.1,2026-07-02
NTRBW,1.0,0.77,2026-06-29
NUGY,13.68,13.43,2026-06-29
NVX,0.47,0.42,2026-06-29
NWTG,0.88,0.81,2026-06-30
NXGL,0.57,0.48,2026-06-25
NXTC,1.95,1.55,2026-06-26
OBTC,19.3,18.65,2026-06-25
OKLL,4.82,4.41,2026-06-26
OLED,83.0,82.83,2026-07-01
OMH,0.48,0.45,2026-06-30
ORBS,0.75,0.68,2026-06-30
ORCU,7.99,7.84,2026-07-01
ORCX,22.37,21.92,2026-07-01
ORIO,0.81,0.81,2026-07-01
OSRH,0.31,0.3,2026-07-01
OYSER,0.11,0.11,2026-07-01
PALD,11.4,11.2,2026-07-01
PATK,85.77,82.35,2026-06-30
PAVS,6.93,0.07,2026-06-26
PAX,11.18,10.56,2026-06-29
PDD,81.53,71.94,2026-06-26
PDDL,12.45,10.01,2026-06-26
PDYNW,0.03,0.03,2026-07-02
PFSA,0.12,0.1,2026-06-30
PGJ,23.12,21.69,2026-06-26
PGYWW,0.08,0.08,2026-06-26
PLCE,3.03,2.76,2026-06-26
PLUR,2.09,1.99,2026-06-26
PLYY,8.86,8.64,2026-06-25
PONY,7.11,6.66,2026-06-26
PPHC,8.13,7.01,2026-06-30
PRPL,0.36,0.34,2026-06-30
PRSO,0.88,0.76,2026-06-26
PRZO,0.5,0.45,2026-06-26
PSHG,1.71,1.62,2026-06-29
PSIG,1.28,1.03,2026-06-29
PSNYW,2.41,2.1,2026-06-30
RAYA,2.76,2.53,2026-06-25
RCON,0.44,0.38,2026-06-30
RCT,0.25,0.25,2026-07-01
REFR,0.58,0.48,2026-06-26
REKR,0.73,0.6,2026-06-26
RENT,3.31,3.01,2026-06-30
RGC,7.8,5.8,2026-06-30
RKDA,0.75,0.63,2026-07-01
RMCF,1.07,0.84,2026-06-29
RMTI,5.15,0.55,2026-06-29
RNWWW,0.0,0.0,2026-07-01
ROL,42.88,41.5,2026-06-30
RPGL,1.92,1.9,2026-06-30
RSVRW,0.17,0.08,2026-06-29
RUBI,5.45,4.75,2026-07-01
SAMG,10.34,10.01,2026-07-01
SBET,5.47,4.46,2026-06-26
SCNI,0.27,0.24,2026-06-29
SDST,1.73,1.52,2026-07-01
SEATW,0.04,0.03,2026-06-25
SEER,1.64,1.61,2026-07-02
SGLY,0.31,0.3,2026-07-01
SHOE,15.4,14.79,2026-06-30
SHPH,3.54,2.9,2026-06-29
SIEB,1.7,1.56,2026-06-29
SIGA,3.78,3.56,2026-06-30
SINT,1.87,1.8,2026-06-29
SKRE,6.09,6.03,2026-07-01
SKYX,1.14,0.95,2026-06-26
SLSN,0.73,0.7,2026-06-30
SMXT,0.36,0.29,2026-06-26
SNT,1.97,1.89,2026-06-30
SOHU,12.64,11.61,2026-06-26
SOUX,12.41,10.2,2026-06-26
SPWR,0.66,0.58,2026-06-26
SSNC,65.25,61.4,2026-06-30
STEP,40.18,38.85,2026-06-29
STKH,0.59,0.55,2026-06-30
STRC,90.0,70.84,2026-06-26
STRD,62.11,49.0,2026-06-26
STRF,95.23,82.5,2026-06-26
STRK,60.68,49.8,2026-06-26
SUIG,1.23,1.07,2026-06-30
SURG,0.56,0.34,2026-06-30
SVRE,2.31,2.02,2026-06-30
SWVL,1.42,1.3,2026-06-30
T,20.76,20.29,2026-07-01
TC,3.41,1.49,2026-06-30
TDOG,14.63,14.4,2026-06-30
TDTH,1.6,1.27,2026-06-30
TMCWW,0.15,0.11,2026-07-01
TMS,7.92,7.01,2026-06-30
TMUS,175.98,165.66,2026-06-30
TMUSI,20.57,20.24,2026-06-30
TMUSL,23.22,23.12,2026-06-30
TMUSZ,20.27,20.25,2026-06-30
TNON,0.3,0.28,2026-07-01
TRNR,4.3,0.44,2026-06-26
TRUG,1.32,1.22,2026-06-26
TSMZ,7.46,7.05,2026-06-30
TTEC,2.17,1.91,2026-06-30
TVRD,1.92,1.5,2026-06-26
TWG,2.24,2.04,2026-06-25
TXXD,3.25,2.99,2026-06-30
UCL,0.95,0.88,2026-06-29
ULTA,452.77,443.6,2026-06-30
UONE,5.34,5.1,2026-06-26
UPLD,4.79,4.0,2026-06-29
UXIN,1.83,1.42,2026-06-29
VALN,5.09,5.04,2026-06-26
VEEA,0.23,0.18,2026-06-29
VIOT,0.81,0.74,2026-06-29
VIVK,0.35,0.31,2026-06-30
VIVS,1.06,0.95,2026-06-29
VMAR,1.49,1.49,2026-07-02
VRME,0.61,0.59,2026-06-29
VRXA,1.78,1.7,2026-07-01
VSEE,0.11,0.1,2026-06-26
VSTD,0.22,0.2,2026-06-26
VTGN,0.25,0.2,2026-06-30
VTIX,3.3,2.57,2026-06-30
WB,7.42,7.09,2026-06-26
WBUY,0.86,0.66,2026-06-25
