Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,PSA,Real Estate,324.17,335.55,-3.39,51.6,1.1,2026-07-29,31.0,11.67,0.22,1.096,370.0,10.47,N,N,2
NEW_HIGH,SPG,Real Estate,229.37,238.5,-3.83,65.7,0.9,2026-07-29,16.0,15.44,0.2,4.575,384.0,14.38,N,N,2
NEW_HIGH,VTR,Real Estate,93.51,101.6,-7.96,53.7,1.3,2026-07-28,170.0,3.55,0.29,0.849,214.0,0.55,N,N,3
NEW_HIGH,WELL,Real Estate,234.44,255.2,-8.13,49.9,1.4,2026-07-28,105.1,3.77,1.32,0.414,145.0,2.23,N,N,3
NEW_HIGH,CNP,Utilities,42.04,45.26,-7.11,35.5,1.1,2026-07-28,25.0,2.46,1.12,2.103,228.0,1.68,N,N,2
NEW_HIGH,EIX,Utilities,73.37,81.62,-10.11,41.7,2.5,2026-07-28,7.6,1.62,0.66,2.28,478.0,9.69,N,N,3
NEW_HIGH,ES,Utilities,71.59,76.57,-6.5,35.0,2.4,2026-07-28,15.3,1.66,,1.818,440.0,4.67,N,N,2
NEW_LOW,PSKY,Communication Services,7.96,7.62,4.46,20.9,1.4,2026-07-31,398.0,0.76,1.1,1.302,252.0,0.02,N,N,3
NEW_LOW,TSLA,Consumer Discretionary,311.21,297.38,4.65,18.1,0.9,2026-07-29,285.5,14.21,1.94,0.184,,1.09,N,N,2
NEW_LOW,COIN,Financials,146.26,139.11,5.14,44.1,2.9,2026-07-31,,2.86,2.42,0.51,,-3.88,N,N,2
NEW_LOW,BLDR,Industrials,66.44,65.1,2.06,36.6,1.3,2026-07-31,72.2,1.78,1.79,1.308,,0.92,N,N,1
NEW_LOW,LHX,Industrials,277.06,262.68,5.47,42.7,1.6,2026-07-30,28.0,2.7,,0.346,180.0,9.89,N,N,3
NEW_LOW,LII,Industrials,415.88,411.41,1.09,18.3,1.7,2026-07-30,18.5,11.08,1.57,1.561,131.0,22.5,N,N,2
NEW_LOW,UBER,Industrials,70.36,65.41,7.57,39.4,0.7,2026-07-27,17.5,5.79,1.07,0.481,,4.03,N,N,2
NEW_LOW,ORCL,Information Technology,129.87,114.5,13.42,48.6,0.9,2026-07-28,22.3,9.96,1.11,3.889,154.0,5.83,N,N,2
NEW_LOW,MLM,Materials,525.14,523.48,0.32,35.1,1.7,2026-07-31,34.1,2.79,1.41,0.549,63.0,15.39,N,N,3
NEW_LOW,ACON,Other,2.25,1.95,15.38,28.6,1.2,2026-07-30,,0.28,19.65,,,-5.63,N,N,2
NEW_LOW,ACTU,Other,1.11,1.03,7.77,31.8,0.4,2026-07-28,,6.94,1.8,,,-0.98,N,N,0
NEW_LOW,ADGM,Other,0.38,0.36,5.56,19.2,0.8,2026-07-30,,1.47,1.85,4.208,,-1.32,N,N,1
NEW_LOW,AEI,Other,1.02,1.0,2.0,16.4,0.6,2026-07-31,,0.33,10.92,0.013,,-1.56,N,N,3
NEW_LOW,AEMD,Other,0.66,0.53,24.53,48.6,8.0,2026-07-31,,0.21,3.85,0.105,,-10.61,N,N,3
NEW_LOW,AGMH,Other,0.75,0.7,7.14,24.0,0.6,2026-07-29,0.0,0.04,1.94,0.061,,32.59,N,N,4
NEW_LOW,AGNT,Other,4.05,3.68,10.05,40.1,1.2,2026-07-30,,2.6,1.56,,494.0,-0.1,N,N,1
NEW_LOW,AGRZ,Other,0.32,0.17,88.24,40.9,0.1,2026-07-28,3.5,1.68,1.27,0.698,,0.09,N,N,3
NEW_LOW,AIFC,Other,0.41,0.36,13.89,31.3,0.7,2026-07-30,,0.06,0.82,0.032,,-7.88,N,N,2
NEW_LOW,AISP,Other,1.75,1.68,4.17,17.9,1.0,2026-07-29,13.5,-8.37,2.54,,,0.13,N,N,4
NEW_LOW,AIXC,Other,0.66,0.62,6.45,33.1,0.3,2026-07-29,,-0.88,2.71,0.034,,-7.08,N,N,3
NEW_LOW,ALGS,Other,4.23,3.98,6.28,13.7,0.2,2026-07-28,,0.82,2.56,0.137,,-9.78,N,N,3
NEW_LOW,ALNY,Other,205.52,197.81,3.9,21.3,2.1,2026-07-30,35.9,20.3,3.06,2.206,,5.73,N,N,2
NEW_LOW,ALPS,Other,0.41,0.4,2.5,31.4,0.2,2026-07-31,,9.12,,,,,N,N,0
NEW_LOW,AMIX,Other,3.44,2.44,40.98,31.0,0.1,2026-07-28,,0.32,4.45,,,-48.72,N,N,2
NEW_LOW,AMOD,Other,3.94,3.4,15.88,47.1,0.8,2026-07-27,,-0.11,0.31,,,-14.0,N,N,1
NEW_LOW,AMSF,Other,29.04,28.94,0.35,20.9,1.6,2026-07-30,11.7,2.15,2.04,,565.0,2.48,N,N,4
NEW_LOW,ANTA,Other,3.05,3.05,0.0,7.6,0.6,2026-07-31,3.7,0.59,1.14,2.363,,0.82,N,N,3
NEW_LOW,AQMS,Other,2.53,2.47,2.43,46.8,2.1,2026-07-31,,0.65,3.07,0.039,,-0.15,N,N,3
NEW_LOW,ARAI,Other,0.23,0.22,4.55,10.4,4.1,2026-07-31,,3.41,0.78,3.711,,-0.46,N,N,0
NEW_LOW,ARAY,Other,0.27,0.22,22.73,50.0,1.2,2026-07-28,,0.76,1.42,4.373,,-0.38,N,N,1
NEW_LOW,ARRY,Other,5.22,4.77,9.43,33.9,1.0,2026-07-29,,-3.74,2.25,2.849,,-0.84,N,N,2
NEW_LOW,ARTL,Other,0.77,0.7,10.0,27.2,0.6,2026-07-29,,0.1,1.79,0.108,,-29.01,N,N,2
NEW_LOW,ASPI,Other,4.0,3.51,13.96,39.7,0.6,2026-07-29,,1.74,4.39,0.876,,-2.21,N,N,2
NEW_LOW,ATCX,Other,2.8,2.75,1.82,22.3,0.9,2026-07-31,,12.05,,,,,N,N,0
NEW_LOW,ATER,Other,0.41,0.35,17.14,15.9,0.6,2026-07-28,,0.39,1.7,0.305,,-2.32,N,N,2
NEW_LOW,ATGL,Other,8.36,8.36,0.0,33.6,0.0,2026-07-31,,44.0,3.33,0.204,,-0.51,N,N,2
